PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,1
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,,10.10.1.6,10.10.1.50,67,68,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,10.10.1.6,10.10.1.50,67,68,0
ETOpenOpt,2100527,GPL SCAN same SRC/DST,,0.0.0.0,255.255.255.255,68,67,0
ETOpenOpt,2002752,ET POLICY Reserved Internal IP Traffic,,,,,,0
ETOpenOpt,2002749,ET POLICY Unallocated IP Space Traffic - Bogon Nets,,,,,,0
