PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",133B4732,192.168.1.3,192.168.2.2,43133,5985,49060
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",F4C6B79C,192.168.1.3,192.168.2.2,37267,5985,8171
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",7A9417E2,192.168.1.3,192.168.2.2,44305,5985,38588
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",95129684,192.168.1.3,192.168.2.2,37005,5985,43381
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",1C189196,192.168.1.3,192.168.2.2,45415,5985,16630
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",CA46BDB6,192.168.1.3,192.168.2.2,43857,5985,7537
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",6751869E,192.168.1.3,192.168.2.2,44477,5985,45406
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",3979CE3D,192.168.1.3,192.168.2.2,38565,5985,12331
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",CF55D6D2,192.168.1.3,192.168.2.2,38195,5985,64007
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",5F5E1836,192.168.1.3,192.168.2.2,41171,5985,44855
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",2BBC9A41,192.168.1.3,192.168.2.2,43167,5985,62818
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",8D43F1A4,192.168.1.3,192.168.2.2,39765,5985,19026
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",5379C575,192.168.1.3,192.168.2.2,41353,5985,194
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",14FABF8B,192.168.1.3,192.168.2.2,37703,5985,2330
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",A950D7D6,192.168.1.3,192.168.2.2,34103,5985,30836
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",E4506376,192.168.1.3,192.168.2.2,44389,5985,6513
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",D560F3A7,192.168.1.3,192.168.2.2,40565,5985,3066
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",7ED6700B,192.168.1.3,192.168.2.2,38031,5985,10446
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",133B4732,192.168.1.3,192.168.2.2,43133,5985,49060
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",F4C6B79C,192.168.1.3,192.168.2.2,37267,5985,8171
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",7A9417E2,192.168.1.3,192.168.2.2,44305,5985,38588
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",95129684,192.168.1.3,192.168.2.2,37005,5985,43381
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",1C189196,192.168.1.3,192.168.2.2,45415,5985,16630
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",CA46BDB6,192.168.1.3,192.168.2.2,43857,5985,7537
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",6751869E,192.168.1.3,192.168.2.2,44477,5985,45406
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",3979CE3D,192.168.1.3,192.168.2.2,38565,5985,12331
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",CF55D6D2,192.168.1.3,192.168.2.2,38195,5985,64007
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",5F5E1836,192.168.1.3,192.168.2.2,41171,5985,44855
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",2BBC9A41,192.168.1.3,192.168.2.2,43167,5985,62818
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",8D43F1A4,192.168.1.3,192.168.2.2,39765,5985,19026
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",5379C575,192.168.1.3,192.168.2.2,41353,5985,194
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",14FABF8B,192.168.1.3,192.168.2.2,37703,5985,2330
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",A950D7D6,192.168.1.3,192.168.2.2,34103,5985,30836
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",E4506376,192.168.1.3,192.168.2.2,44389,5985,6513
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",D560F3A7,192.168.1.3,192.168.2.2,40565,5985,3066
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",7ED6700B,192.168.1.3,192.168.2.2,38031,5985,10446
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",133B4732,192.168.1.3,192.168.2.2,43133,5985,49060
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",F4C6B79C,192.168.1.3,192.168.2.2,37267,5985,8171
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",7A9417E2,192.168.1.3,192.168.2.2,44305,5985,38588
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",95129684,192.168.1.3,192.168.2.2,37005,5985,43381
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",1C189196,192.168.1.3,192.168.2.2,45415,5985,16630
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",CA46BDB6,192.168.1.3,192.168.2.2,43857,5985,7537
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",6751869E,192.168.1.3,192.168.2.2,44477,5985,45406
Community,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",3979CE3D,192.168.1.3,192.168.2.2,38565,5985,12331
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",CF55D6D2,192.168.1.3,192.168.2.2,38195,5985,64007
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",5F5E1836,192.168.1.3,192.168.2.2,41171,5985,44855
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",2BBC9A41,192.168.1.3,192.168.2.2,43167,5985,62818
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",8D43F1A4,192.168.1.3,192.168.2.2,39765,5985,19026
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",5379C575,192.168.1.3,192.168.2.2,41353,5985,194
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",14FABF8B,192.168.1.3,192.168.2.2,37703,5985,2330
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",A950D7D6,192.168.1.3,192.168.2.2,34103,5985,30836
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",E4506376,192.168.1.3,192.168.2.2,44389,5985,6513
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",D560F3A7,192.168.1.3,192.168.2.2,40565,5985,3066
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",7ED6700B,192.168.1.3,192.168.2.2,38031,5985,10446
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",133B4732,192.168.1.3,192.168.2.2,43133,5985,49060
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",F4C6B79C,192.168.1.3,192.168.2.2,37267,5985,8171
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",7A9417E2,192.168.1.3,192.168.2.2,44305,5985,38588
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",95129684,192.168.1.3,192.168.2.2,37005,5985,43381
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",1C189196,192.168.1.3,192.168.2.2,45415,5985,16630
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",CA46BDB6,192.168.1.3,192.168.2.2,43857,5985,7537
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",6751869E,192.168.1.3,192.168.2.2,44477,5985,45406
Talos,1394,"""INDICATOR-SHELLCODE x86 inc ecx NOOP""",3979CE3D,192.168.1.3,192.168.2.2,38565,5985,12331
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
Talos,20619,"""SERVER-WEBAPP CoreHTTP Long buffer overflow attempt""",,,,,,
PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
PaqueteReglas,SID,Detalles,Seq,IPOrigen,IPDestino,PrtOrigen,PrtDestino,IDPaq
ETOpen,2033952,ET EXPLOIT Microsoft OMI RCE Exploit Attempt (CVE-2021-38647) M1,D6DB8296,192.168.1.3,192.168.2.2,35715,5985,32325
